name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Carlton Thackley,133.0,5.0,32.0,2025-11-18 15:00:30+00:00,0.00475,0.0015,0.00975,0.00475
Carlton Thackley,133.0,5.0,32.0,2025-11-18 15:15:30+00:00,0.002,0.001,0.007,0.002
Carlton Thackley,133.0,5.0,32.0,2025-11-18 15:30:30+00:00,0.0005,0.00025,0.0015,0.0005
Carlton Thackley,133.0,5.0,32.0,2025-11-18 15:45:30+00:00,0.0,0.0,0.00025,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 16:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 16:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 16:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 16:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 17:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 17:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 17:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 17:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 18:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 18:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 18:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 18:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 19:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 19:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 19:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 19:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 20:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 20:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 20:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 20:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 21:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 21:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 21:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 21:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 22:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 22:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 22:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 22:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 23:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 23:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 23:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-18 23:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 00:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 00:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 00:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 00:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 01:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 01:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 01:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 01:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 02:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 02:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 02:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 02:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 03:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 03:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 03:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 03:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 04:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 04:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 04:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 04:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 05:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 05:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 05:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 05:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 06:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 06:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 06:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 06:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 07:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 07:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 07:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 07:45:30+00:00,0.0005,0.0,0.001,0.0005
Carlton Thackley,133.0,5.0,32.0,2025-11-19 08:00:30+00:00,0.00275,0.0005,0.0055,0.00275
Carlton Thackley,133.0,5.0,32.0,2025-11-19 08:15:30+00:00,0.008,0.0015,0.01225,0.007
Carlton Thackley,133.0,5.0,32.0,2025-11-19 08:30:30+00:00,0.00475,0.0015,0.01575,0.0045
Carlton Thackley,133.0,5.0,32.0,2025-11-19 08:45:30+00:00,0.0055,0.002,0.022,0.0055
Carlton Thackley,133.0,5.0,32.0,2025-11-19 09:00:30+00:00,0.02325,0.00475,0.0325,0.0195
Carlton Thackley,133.0,5.0,32.0,2025-11-19 09:15:30+00:00,0.01175,0.00325,0.037,0.01075
Carlton Thackley,133.0,5.0,32.0,2025-11-19 09:30:30+00:00,0.01825,0.0035,0.0355,0.01725
Carlton Thackley,133.0,5.0,32.0,2025-11-19 09:45:30+00:00,0.01475,0.00375,0.03625,0.0145
Carlton Thackley,133.0,5.0,32.0,2025-11-19 10:00:30+00:00,0.013,0.004,0.0435,0.013
Carlton Thackley,133.0,5.0,32.0,2025-11-19 10:15:30+00:00,0.0375,0.0075,0.0565,0.0335
Carlton Thackley,133.0,5.0,32.0,2025-11-19 10:30:30+00:00,0.0285,0.00575,0.05575,0.027
Carlton Thackley,133.0,5.0,32.0,2025-11-19 10:45:30+00:00,0.011,0.005,0.044,0.011
Carlton Thackley,133.0,5.0,32.0,2025-11-19 11:00:30+00:00,0.034,0.00675,0.05425,0.03125
Carlton Thackley,133.0,5.0,32.0,2025-11-19 11:15:30+00:00,0.03025,0.006,0.054,0.029
Carlton Thackley,133.0,5.0,32.0,2025-11-19 11:30:30+00:00,0.0185,0.0055,0.0535,0.0185
Carlton Thackley,133.0,5.0,32.0,2025-11-19 11:45:30+00:00,0.02825,0.0055,0.0625,0.0275
Carlton Thackley,133.0,5.0,32.0,2025-11-19 12:00:30+00:00,0.0455,0.009,0.07775,0.04225
Carlton Thackley,133.0,5.0,32.0,2025-11-19 12:15:30+00:00,0.051,0.01825,0.07925,0.04675
Carlton Thackley,133.0,5.0,32.0,2025-11-19 12:30:30+00:00,0.057,0.02875,0.07825,0.0515
Carlton Thackley,133.0,5.0,32.0,2025-11-19 12:45:30+00:00,0.062,0.039,0.07575,0.05575
Carlton Thackley,133.0,5.0,32.0,2025-11-19 13:00:30+00:00,0.0615,0.04425,0.07225,0.0555
Carlton Thackley,133.0,5.0,32.0,2025-11-19 13:15:30+00:00,0.058,0.04475,0.06725,0.05275
Carlton Thackley,133.0,5.0,32.0,2025-11-19 13:30:30+00:00,0.053,0.04175,0.06175,0.0485
Carlton Thackley,133.0,5.0,32.0,2025-11-19 13:45:30+00:00,0.0475,0.03675,0.0555,0.044
Carlton Thackley,133.0,5.0,32.0,2025-11-19 14:00:30+00:00,0.041,0.031,0.04875,0.03875
Carlton Thackley,133.0,5.0,32.0,2025-11-19 14:15:30+00:00,0.03425,0.02525,0.0415,0.03275
Carlton Thackley,133.0,5.0,32.0,2025-11-19 14:30:30+00:00,0.0275,0.01975,0.034,0.02675
Carlton Thackley,133.0,5.0,32.0,2025-11-19 14:45:30+00:00,0.02125,0.0145,0.0265,0.02125
Carlton Thackley,133.0,5.0,32.0,2025-11-19 15:00:30+00:00,0.015,0.0095,0.01875,0.01525
Carlton Thackley,133.0,5.0,32.0,2025-11-19 15:15:30+00:00,0.009,0.00525,0.0115,0.0095
Carlton Thackley,133.0,5.0,32.0,2025-11-19 15:30:30+00:00,0.00375,0.00275,0.00575,0.00375
Carlton Thackley,133.0,5.0,32.0,2025-11-19 15:45:30+00:00,0.00175,0.001,0.00225,0.00175
Carlton Thackley,133.0,5.0,32.0,2025-11-19 16:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 16:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 16:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 16:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 17:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 17:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 17:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 17:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 18:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 18:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 18:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 18:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 19:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 19:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 19:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 19:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 20:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 20:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 20:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 20:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 21:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 21:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 21:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 21:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 22:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 22:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 22:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 22:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 23:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 23:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 23:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,133.0,5.0,32.0,2025-11-19 23:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 00:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 00:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 00:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 00:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 01:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 01:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 01:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 01:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 02:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 02:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 02:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 02:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 03:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 03:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 03:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 03:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 04:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 04:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 04:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 04:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 05:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 05:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 05:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 05:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 06:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 06:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 06:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 06:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 07:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 07:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 07:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 07:45:30+00:00,0.0015,0.0005,0.00175,0.0015
Carlton Thackley,313.0,5.0,4.0,2025-11-18 08:00:30+00:00,0.0035,0.001,0.00625,0.0035
Carlton Thackley,313.0,5.0,4.0,2025-11-18 08:15:30+00:00,0.00625,0.00225,0.0105,0.007
Carlton Thackley,313.0,5.0,4.0,2025-11-18 08:30:30+00:00,0.009,0.00325,0.01475,0.011
Carlton Thackley,313.0,5.0,4.0,2025-11-18 08:45:30+00:00,0.01225,0.00525,0.02,0.015
Carlton Thackley,313.0,5.0,4.0,2025-11-18 09:00:30+00:00,0.01625,0.004,0.02325,0.0195
Carlton Thackley,313.0,5.0,4.0,2025-11-18 09:15:30+00:00,0.01375,0.00675,0.0325,0.015
Carlton Thackley,313.0,5.0,4.0,2025-11-18 09:30:30+00:00,0.0235,0.00525,0.03275,0.02875
Carlton Thackley,313.0,5.0,4.0,2025-11-18 09:45:30+00:00,0.023,0.01025,0.041,0.026
Carlton Thackley,313.0,5.0,4.0,2025-11-18 10:00:30+00:00,0.028,0.0105,0.0485,0.03225
Carlton Thackley,313.0,5.0,4.0,2025-11-18 10:15:30+00:00,0.03575,0.0105,0.051,0.04325
Carlton Thackley,313.0,5.0,4.0,2025-11-18 10:30:30+00:00,0.03275,0.0065,0.05475,0.03775
Carlton Thackley,313.0,5.0,4.0,2025-11-18 10:45:30+00:00,0.0165,0.00475,0.053,0.01725
Carlton Thackley,313.0,5.0,4.0,2025-11-18 11:00:30+00:00,0.0165,0.00525,0.04125,0.01675
Carlton Thackley,313.0,5.0,4.0,2025-11-18 11:15:30+00:00,0.01275,0.00525,0.03625,0.01275
Carlton Thackley,313.0,5.0,4.0,2025-11-18 11:30:30+00:00,0.01925,0.00525,0.0285,0.01975
Carlton Thackley,313.0,5.0,4.0,2025-11-18 11:45:30+00:00,0.01325,0.00525,0.0315,0.0135
Carlton Thackley,313.0,5.0,4.0,2025-11-18 12:00:30+00:00,0.0185,0.0055,0.03325,0.01875
Carlton Thackley,313.0,5.0,4.0,2025-11-18 12:15:30+00:00,0.0185,0.00525,0.0335,0.01875
Carlton Thackley,313.0,5.0,4.0,2025-11-18 12:30:30+00:00,0.0085,0.00525,0.03375,0.0085
Carlton Thackley,313.0,5.0,4.0,2025-11-18 12:45:30+00:00,0.00425,0.00275,0.01675,0.00425
Carlton Thackley,313.0,5.0,4.0,2025-11-18 13:00:30+00:00,0.004,0.00275,0.0165,0.00425
Carlton Thackley,313.0,5.0,4.0,2025-11-18 13:15:30+00:00,0.03375,0.00675,0.0475,0.03625
Carlton Thackley,313.0,5.0,4.0,2025-11-18 13:30:30+00:00,0.0245,0.005,0.04875,0.0255
Carlton Thackley,313.0,5.0,4.0,2025-11-18 13:45:30+00:00,0.0115,0.00375,0.0415,0.01175
Carlton Thackley,313.0,5.0,4.0,2025-11-18 14:00:30+00:00,0.01925,0.00375,0.0325,0.01975
Carlton Thackley,313.0,5.0,4.0,2025-11-18 14:15:30+00:00,0.0105,0.003,0.02775,0.0105
Carlton Thackley,313.0,5.0,4.0,2025-11-18 14:30:30+00:00,0.00375,0.0025,0.01525,0.00375
Carlton Thackley,313.0,5.0,4.0,2025-11-18 14:45:30+00:00,0.00275,0.002,0.011,0.00275
Carlton Thackley,313.0,5.0,4.0,2025-11-18 15:00:30+00:00,0.00475,0.0015,0.00975,0.00475
Carlton Thackley,313.0,5.0,4.0,2025-11-18 15:15:30+00:00,0.002,0.001,0.007,0.002
Carlton Thackley,313.0,5.0,4.0,2025-11-18 15:30:30+00:00,0.0005,0.00025,0.0015,0.0005
Carlton Thackley,313.0,5.0,4.0,2025-11-18 15:45:30+00:00,0.0,0.0,0.00025,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 16:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 16:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 16:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 16:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 17:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 17:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 17:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 17:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 18:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 18:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 18:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 18:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 19:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 19:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 19:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 19:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 20:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 20:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 20:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 20:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 21:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 21:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 21:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 21:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 22:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 22:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 22:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 22:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 23:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 23:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 23:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-18 23:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 00:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 00:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 00:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 00:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 01:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 01:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 01:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 01:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 02:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 02:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 02:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 02:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 03:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 03:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 03:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 03:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 04:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 04:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 04:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 04:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 05:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 05:15:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 05:30:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 05:45:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 06:00:30+00:00,0.0,0.0,0.0,0.0
Carlton Thackley,313.0,5.0,4.0,2025-11-19 06:15:30+00:00,0.0,0.0,0.0,0.0
